uur,afgereden,wachttijd_rechts,wachttijd_links,wachttijd_rechtdoor
1,1284,0.20105820105820105,0.4887640449438202,0.4416575790621592
2,2654,0.23115577889447236,0.32432432432432434,0.4678609062170706
3,3942,0.0663265306122449,0.7821229050279329,0.4874041621029573
4,5330,0.7589285714285714,0.11428571428571428,0.4196157735085945
5,6661,0.5238095238095238,0.4688995215311005,0.46381578947368424
6,8045,0.6336633663366337,0.18446601941747573,0.5737704918032787
7,9394,0.9565217391304348,0.32142857142857145,0.15195530726256984
8,10706,0.5425531914893617,0.4900990099009901,0.1193058568329718
9,12096,0.22272727272727272,0.6176470588235294,0.2732919254658385
10,13431,0.09268292682926829,0.602803738317757,0.4759825327510917
11,14772,0.17553191489361702,0.47474747474747475,0.29214659685863875
12,16167,0.6188118811881188,0.29707112970711297,0.33228511530398325
13,17505,0.39593908629441626,0.5252525252525253,0.542948038176034
14,18864,0.6487804878048781,0.7018348623853211,0.6837606837606838
